/begin_header 
/IOPs FlowThrough System onboard R/V Gaia Blu 
/DATE  = YYYYMMDD 
/TIME  = decimal hours [hh.decimals] 
/LAT   = degrees north [deg.decimals] 
/LON   = degrees east [deg.decimals] 
/FLOWIN = intake seawater flow (L/min) 
/FLOWOUT = outtake seawater flow (L/min) 
/TEMP1 = Seawater temperature laboratory  (Celsius degrees) [from TS sensor] 
/TEMP2 = Seawater temperature environment (Celsius degrees) [from TS sensor] 
/SAL = Seawater salinity ACS intake (psu) 
/C_???.? = Attenuation coefficient at lambda ???.?nm 
/A_???.? = Absorption  coefficient at lambda ???.?nm 
/INT_TEMP = ACs internal temperature (Celsius degrees) 
/EXT_TEMP = ACs external temperature (Celsius degrees) 
/TOT_DIS = Flag for acquisition mode (0 = total, 1 = dissolved) 
/end_header@
DATE,TIME,GPS_TIME,LAT,LON,FLOWIN,FLOWOUT,TEMP1,TEMP2,SAL,C_400.5,C_402.6,C_404.8,C_406.8,C_408.5,C_410.9,C_413.7,C_417.4,C_422.4,C_427.2,C_432.0,C_435.9,C_440.0,C_443.7,C_448.1,C_452.2,C_456.6,C_460.4,C_464.8,C_469.1,C_474.1,C_478.7,C_483.6,C_487.8,C_492.3,C_496.5,C_500.8,C_505.7,C_510.0,C_515.2,C_519.6,C_524.4,C_528.4,C_532.7,C_536.5,C_541.1,C_545.1,C_549.7,C_553.8,C_558.7,C_562.8,C_567.3,C_571.3,C_575.6,C_579.7,C_583.9,C_588.1,C_592.5,C_597.1,C_601.8,C_606.1,C_611.2,C_615.5,C_620.4,C_624.4,C_629.0,C_632.9,C_637.5,C_641.5,C_646.1,C_650.6,C_654.9,C_659.5,C_663.7,C_668.0,C_672.4,C_676.3,C_680.6,C_684.3,C_688.2,C_691.8,C_695.7,C_699.2,C_702.9,C_706.3,C_710.4,C_713.7,C_717.7,C_720.6,C_724.0,C_728.0,C_731.1,C_734.6,C_738.0,C_740.7,A_401.4,A_403.5,A_405.7,A_407.6,A_409.6,A_412.1,A_415.3,A_419.4,A_424.6,A_429.5,A_433.8,A_437.7,A_441.6,A_445.3,A_449.7,A_453.9,A_458.2,A_462.2,A_466.2,A_471.0,A_475.7,A_480.3,A_485.0,A_489.4,A_493.5,A_497.9,A_502.4,A_506.9,A_511.6,A_516.3,A_521.0,A_525.3,A_529.4,A_533.5,A_537.7,A_542.0,A_546.1,A_550.7,A_554.8,A_559.6,A_563.7,A_568.3,A_569.3,A_573.4,A_577.5,A_581.7,A_585.6,A_590.1,A_594.4,A_599.1,A_603.3,A_608.2,A_612.3,A_617.4,A_621.5,A_626.0,A_630.0,A_634.7,A_638.7,A_643.1,A_647.3,A_652.2,A_656.2,A_660.9,A_665.0,A_669.3,A_673.4,A_677.8,A_681.4,A_685.6,A_689.2,A_692.9,A_696.5,A_700.4,A_703.8,A_707.8,A_711.2,A_714.5,A_717.9,A_721.7,A_724.5,A_728.6,A_731.8,A_735.4,A_738.3,INT_TEMP,EXT_TEMP,TOT_DIS
20250723,18.175000,2025-07-23T18:10:50,44.032275,10.036429,0.000000,0.000000,26.116000,26.788300,0.543800,0.767577,0.764829,0.760715,0.753392,0.740804,0.728034,0.712366,0.697925,0.683998,0.665959,0.652343,0.639086,0.628904,0.618395,0.608828,0.599532,0.590428,0.580414,0.571192,0.562630,0.553633,0.544917,0.537997,0.529599,0.521971,0.514688,0.507097,0.500101,0.493156,0.485483,0.478950,0.473190,0.466253,0.460173,0.453064,0.447954,0.441893,0.435963,0.432284,0.426201,0.421320,0.417323,0.412103,0.407767,0.403564,0.398881,0.394393,0.389631,0.386269,0.382901,0.379917,0.376173,0.372533,0.368392,0.364212,0.360500,0.356857,0.352907,0.349113,0.345570,0.342268,0.339612,0.336350,0.334259,0.331650,0.327831,0.324229,0.320405,0.318113,0.314060,0.312258,0.307715,0.303169,0.301707,0.299345,0.296931,0.297438,0.295087,0.295432,0.296713,0.293875,0.297600,0.302845,0.305588,0.308136,7.697072,7.813723,7.924236,8.034962,8.132690,8.182644,8.148092,8.043591,7.862892,7.682966,7.560076,7.491826,7.466903,7.462181,7.463638,7.458899,7.445516,7.432779,7.405997,7.381579,7.345236,7.311565,7.279687,7.241322,7.204251,7.164473,7.122879,7.078435,7.043615,7.008310,6.980020,6.961276,6.939650,6.919965,6.906136,6.889507,6.872988,6.854869,6.833757,6.814659,6.797915,6.776068,6.792078,6.770825,6.740016,6.713010,6.688836,6.668141,6.641553,6.619489,6.600562,6.584637,6.570122,6.549813,6.540784,6.536706,6.532344,6.524229,6.519686,6.509397,6.496785,6.487443,6.479115,6.458784,6.458867,6.451160,6.447274,6.438210,6.428042,6.418835,6.402592,6.395477,6.369830,6.345028,6.325401,6.307016,6.279911,6.244289,6.206935,6.171449,6.125158,6.082398,6.047887,5.981812,5.928245,25.141702,26.733754,0
20250723,18.175000,2025-07-23T18:10:50,44.032275,10.036429,0.000000,0.000000,26.116000,26.788300,0.543800,0.767577,0.764829,0.760715,0.753392,0.740804,0.728034,0.712366,0.697925,0.683998,0.665959,0.652343,0.639086,0.628904,0.618395,0.608828,0.599532,0.590428,0.580414,0.571192,0.562630,0.553633,0.544917,0.537997,0.529599,0.521971,0.514688,0.507097,0.500101,0.493156,0.485483,0.478950,0.473190,0.466253,0.460173,0.453064,0.447954,0.441893,0.435963,0.432284,0.426201,0.421320,0.417323,0.412103,0.407767,0.403564,0.398881,0.394393,0.389631,0.386269,0.382901,0.379917,0.376173,0.372533,0.368392,0.364212,0.360500,0.356857,0.352907,0.349113,0.345570,0.342268,0.339612,0.336350,0.334259,0.331650,0.327831,0.324229,0.320405,0.318113,0.314060,0.312258,0.307715,0.303169,0.301707,0.299345,0.296931,0.297438,0.295087,0.295432,0.296713,0.293875,0.297600,0.302845,0.305588,0.308136,7.697072,7.813723,7.924236,8.034962,8.132690,8.182644,8.148092,8.043591,7.862892,7.682966,7.560076,7.491826,7.466903,7.462181,7.463638,7.458899,7.445516,7.432779,7.405997,7.381579,7.345236,7.311565,7.279687,7.241322,7.204251,7.164473,7.122879,7.078435,7.043615,7.008310,6.980020,6.961276,6.939650,6.919965,6.906136,6.889507,6.872988,6.854869,6.833757,6.814659,6.797915,6.776068,6.792078,6.770825,6.740016,6.713010,6.688836,6.668141,6.641553,6.619489,6.600562,6.584637,6.570122,6.549813,6.540784,6.536706,6.532344,6.524229,6.519686,6.509397,6.496785,6.487443,6.479115,6.458784,6.458867,6.451160,6.447274,6.438210,6.428042,6.418835,6.402592,6.395477,6.369830,6.345028,6.325401,6.307016,6.279911,6.244289,6.206935,6.171449,6.125158,6.082398,6.047887,5.981812,5.928245,25.141702,26.733754,0
20250723,18.176111,2025-07-23T18:10:54,44.032275,10.036429,0.000000,0.000000,26.115700,26.787400,0.543500,0.756383,0.772645,0.760222,0.749865,0.742816,0.728246,0.712944,0.697190,0.683093,0.666628,0.652753,0.637779,0.630412,0.618175,0.609253,0.599708,0.590600,0.580888,0.570873,0.563506,0.553642,0.545653,0.537993,0.529990,0.521566,0.514871,0.507465,0.499555,0.493452,0.486865,0.478955,0.473641,0.466237,0.460114,0.453754,0.448580,0.442576,0.436338,0.432353,0.426692,0.421512,0.417387,0.411815,0.408058,0.403142,0.398977,0.394201,0.390493,0.386714,0.383402,0.380073,0.376115,0.372625,0.368961,0.364597,0.360470,0.356795,0.353419,0.349049,0.345847,0.342653,0.339436,0.337334,0.333731,0.331428,0.328763,0.323407,0.320451,0.317657,0.313136,0.311954,0.307892,0.303676,0.302186,0.297800,0.298616,0.296100,0.294542,0.297648,0.297393,0.293961,0.298990,0.303240,0.305848,0.309645,7.494209,7.605825,7.703186,7.813980,7.915254,7.971658,7.944512,7.848449,7.678965,7.504754,7.385352,7.321453,7.297705,7.298324,7.296680,7.294546,7.286358,7.273094,7.248562,7.223520,7.189446,7.157774,7.124075,7.093282,7.050652,7.014732,6.975221,6.932362,6.895462,6.857482,6.831969,6.807529,6.791143,6.771838,6.753840,6.740514,6.724427,6.704325,6.686039,6.666007,6.644313,6.627318,6.603047,6.578745,6.550647,6.529542,6.505333,6.483633,6.461266,6.440052,6.419956,6.406369,6.391551,6.374774,6.367608,6.364883,6.360935,6.354615,6.353315,6.344225,6.334300,6.325885,6.318657,6.300322,6.300198,6.297472,6.290184,6.283109,6.274657,6.265921,6.254408,6.246112,6.220136,6.196763,6.186015,6.159996,6.126486,6.093699,6.053832,6.012626,5.982360,5.932610,5.881559,5.842859,5.793674,25.150069,26.735313,0
20250723,18.176111,2025-07-23T18:10:54,44.032275,10.036429,0.000000,0.000000,26.115700,26.787400,0.543500,0.756383,0.772645,0.760222,0.749865,0.742816,0.728246,0.712944,0.697190,0.683093,0.666628,0.652753,0.637779,0.630412,0.618175,0.609253,0.599708,0.590600,0.580888,0.570873,0.563506,0.553642,0.545653,0.537993,0.529990,0.521566,0.514871,0.507465,0.499555,0.493452,0.486865,0.478955,0.473641,0.466237,0.460114,0.453754,0.448580,0.442576,0.436338,0.432353,0.426692,0.421512,0.417387,0.411815,0.408058,0.403142,0.398977,0.394201,0.390493,0.386714,0.383402,0.380073,0.376115,0.372625,0.368961,0.364597,0.360470,0.356795,0.353419,0.349049,0.345847,0.342653,0.339436,0.337334,0.333731,0.331428,0.328763,0.323407,0.320451,0.317657,0.313136,0.311954,0.307892,0.303676,0.302186,0.297800,0.298616,0.296100,0.294542,0.297648,0.297393,0.293961,0.298990,0.303240,0.305848,0.309645,7.494209,7.605825,7.703186,7.813980,7.915254,7.971658,7.944512,7.848449,7.678965,7.504754,7.385352,7.321453,7.297705,7.298324,7.296680,7.294546,7.286358,7.273094,7.248562,7.223520,7.189446,7.157774,7.124075,7.093282,7.050652,7.014732,6.975221,6.932362,6.895462,6.857482,6.831969,6.807529,6.791143,6.771838,6.753840,6.740514,6.724427,6.704325,6.686039,6.666007,6.644313,6.627318,6.603047,6.578745,6.550647,6.529542,6.505333,6.483633,6.461266,6.440052,6.419956,6.406369,6.391551,6.374774,6.367608,6.364883,6.360935,6.354615,6.353315,6.344225,6.334300,6.325885,6.318657,6.300322,6.300198,6.297472,6.290184,6.283109,6.274657,6.265921,6.254408,6.246112,6.220136,6.196763,6.186015,6.159996,6.126486,6.093699,6.053832,6.012626,5.982360,5.932610,5.881559,5.842859,5.793674,25.150069,26.735313,0
20250723,18.177222,2025-07-23T18:10:58,44.032276,10.036429,0.000000,0.000000,26.116000,26.787900,0.542700,0.772302,0.761131,0.762344,0.752807,0.740796,0.728541,0.713572,0.699427,0.682288,0.667113,0.653618,0.639869,0.628568,0.619069,0.609503,0.599259,0.590118,0.580437,0.571369,0.562305,0.553823,0.546030,0.537235,0.529767,0.522380,0.514483,0.507267,0.500477,0.493566,0.485934,0.479499,0.472520,0.466311,0.460325,0.453757,0.447936,0.442068,0.436288,0.431783,0.426999,0.421916,0.417452,0.412394,0.407703,0.402982,0.399012,0.394396,0.390303,0.386367,0.383090,0.379919,0.376327,0.372685,0.368663,0.364302,0.361332,0.356827,0.353356,0.349569,0.346291,0.342335,0.339869,0.336242,0.334185,0.331127,0.327830,0.324837,0.320541,0.316926,0.314255,0.311224,0.306896,0.304388,0.300229,0.299893,0.298979,0.297022,0.295567,0.295972,0.294937,0.295583,0.300237,0.299455,0.307176,0.309883,8.149379,8.272252,8.387554,8.494005,8.599219,8.645445,8.609478,8.500949,8.313519,8.129940,7.989993,7.922512,7.900406,7.887371,7.891112,7.890349,7.882205,7.859567,7.834002,7.799816,7.766669,7.733367,7.693009,7.655875,7.618542,7.571441,7.525662,7.484111,7.442126,7.396161,7.364851,7.342244,7.314996,7.299664,7.274780,7.256242,7.235096,7.217215,7.193502,7.171487,7.152333,7.132789,7.077637,7.052446,7.025790,6.999096,6.971780,6.951657,6.923946,6.899923,6.877931,6.859794,6.846886,6.828403,6.819891,6.816273,6.809241,6.804978,6.799211,6.794030,6.782016,6.769969,6.759896,6.742636,6.739169,6.735522,6.729410,6.720325,6.712647,6.699001,6.686986,6.676128,6.648144,6.621952,6.604414,6.592891,6.564195,6.520534,6.480003,6.438178,6.408518,6.349984,6.320567,6.252143,6.220658,25.156344,26.727519,0
20250723,18.177222,2025-07-23T18:10:58,44.032276,10.036429,0.000000,0.000000,26.116000,26.787900,0.542700,0.772302,0.761131,0.762344,0.752807,0.740796,0.728541,0.713572,0.699427,0.682288,0.667113,0.653618,0.639869,0.628568,0.619069,0.609503,0.599259,0.590118,0.580437,0.571369,0.562305,0.553823,0.546030,0.537235,0.529767,0.522380,0.514483,0.507267,0.500477,0.493566,0.485934,0.479499,0.472520,0.466311,0.460325,0.453757,0.447936,0.442068,0.436288,0.431783,0.426999,0.421916,0.417452,0.412394,0.407703,0.402982,0.399012,0.394396,0.390303,0.386367,0.383090,0.379919,0.376327,0.372685,0.368663,0.364302,0.361332,0.356827,0.353356,0.349569,0.346291,0.342335,0.339869,0.336242,0.334185,0.331127,0.327830,0.324837,0.320541,0.316926,0.314255,0.311224,0.306896,0.304388,0.300229,0.299893,0.298979,0.297022,0.295567,0.295972,0.294937,0.295583,0.300237,0.299455,0.307176,0.309883,8.149379,8.272252,8.387554,8.494005,8.599219,8.645445,8.609478,8.500949,8.313519,8.129940,7.989993,7.922512,7.900406,7.887371,7.891112,7.890349,7.882205,7.859567,7.834002,7.799816,7.766669,7.733367,7.693009,7.655875,7.618542,7.571441,7.525662,7.484111,7.442126,7.396161,7.364851,7.342244,7.314996,7.299664,7.274780,7.256242,7.235096,7.217215,7.193502,7.171487,7.152333,7.132789,7.077637,7.052446,7.025790,6.999096,6.971780,6.951657,6.923946,6.899923,6.877931,6.859794,6.846886,6.828403,6.819891,6.816273,6.809241,6.804978,6.799211,6.794030,6.782016,6.769969,6.759896,6.742636,6.739169,6.735522,6.729410,6.720325,6.712647,6.699001,6.686986,6.676128,6.648144,6.621952,6.604414,6.592891,6.564195,6.520534,6.480003,6.438178,6.408518,6.349984,6.320567,6.252143,6.220658,25.156344,26.727519,0
20250723,18.178333,2025-07-23T18:11:02,44.032276,10.036429,0.000000,0.000000,26.116100,26.787600,0.540900,0.768436,0.762881,0.756445,0.754320,0.741043,0.727959,0.712356,0.697853,0.683274,0.666187,0.652164,0.639999,0.629135,0.617850,0.609341,0.599223,0.590097,0.580409,0.571519,0.562629,0.553274,0.545095,0.537994,0.529203,0.522178,0.514685,0.506893,0.499886,0.493508,0.485293,0.479417,0.472841,0.465853,0.460005,0.453129,0.447762,0.441676,0.436508,0.431778,0.425290,0.421725,0.416626,0.411975,0.407250,0.403368,0.399236,0.394072,0.389790,0.385921,0.382931,0.379548,0.375808,0.372020,0.368032,0.364181,0.360382,0.356498,0.353450,0.348259,0.345792,0.342438,0.338888,0.336242,0.333730,0.331060,0.327640,0.324027,0.321228,0.316435,0.313135,0.311276,0.307766,0.302611,0.302040,0.297526,0.297294,0.295710,0.294574,0.294293,0.296035,0.291784,0.299954,0.302450,0.303196,0.307818,7.522989,7.611570,7.744505,7.844134,7.945655,8.002323,7.972925,7.874575,7.702827,7.540803,7.415346,7.354120,7.331282,7.332294,7.331372,7.333972,7.326649,7.305823,7.285393,7.253581,7.221226,7.191625,7.152184,7.119360,7.077746,7.042812,6.998895,6.954093,6.914369,6.881378,6.858984,6.833284,6.811246,6.791736,6.774891,6.756884,6.742135,6.723436,6.701360,6.686106,6.667058,6.646982,6.619228,6.595717,6.569783,6.547217,6.525178,6.504969,6.476892,6.454836,6.438941,6.425647,6.408067,6.391700,6.384814,6.383604,6.377521,6.369987,6.367913,6.360510,6.346682,6.338533,6.329606,6.309737,6.311518,6.307935,6.301398,6.287383,6.279116,6.270500,6.254467,6.242359,6.221209,6.195816,6.177770,6.164193,6.128556,6.095047,6.057293,6.013146,5.988476,5.936407,5.888532,5.851362,5.803902,25.137518,26.732195,0
20250723,18.178333,2025-07-23T18:11:02,44.032276,10.036429,0.000000,0.000000,26.116100,26.787600,0.540900,0.768436,0.762881,0.756445,0.754320,0.741043,0.727959,0.712356,0.697853,0.683274,0.666187,0.652164,0.639999,0.629135,0.617850,0.609341,0.599223,0.590097,0.580409,0.571519,0.562629,0.553274,0.545095,0.537994,0.529203,0.522178,0.514685,0.506893,0.499886,0.493508,0.485293,0.479417,0.472841,0.465853,0.460005,0.453129,0.447762,0.441676,0.436508,0.431778,0.425290,0.421725,0.416626,0.411975,0.407250,0.403368,0.399236,0.394072,0.389790,0.385921,0.382931,0.379548,0.375808,0.372020,0.368032,0.364181,0.360382,0.356498,0.353450,0.348259,0.345792,0.342438,0.338888,0.336242,0.333730,0.331060,0.327640,0.324027,0.321228,0.316435,0.313135,0.311276,0.307766,0.302611,0.302040,0.297526,0.297294,0.295710,0.294574,0.294293,0.296035,0.291784,0.299954,0.302450,0.303196,0.307818,7.522989,7.611570,7.744505,7.844134,7.945655,8.002323,7.972925,7.874575,7.702827,7.540803,7.415346,7.354120,7.331282,7.332294,7.331372,7.333972,7.326649,7.305823,7.285393,7.253581,7.221226,7.191625,7.152184,7.119360,7.077746,7.042812,6.998895,6.954093,6.914369,6.881378,6.858984,6.833284,6.811246,6.791736,6.774891,6.756884,6.742135,6.723436,6.701360,6.686106,6.667058,6.646982,6.619228,6.595717,6.569783,6.547217,6.525178,6.504969,6.476892,6.454836,6.438941,6.425647,6.408067,6.391700,6.384814,6.383604,6.377521,6.369987,6.367913,6.360510,6.346682,6.338533,6.329606,6.309737,6.311518,6.307935,6.301398,6.287383,6.279116,6.270500,6.254467,6.242359,6.221209,6.195816,6.177770,6.164193,6.128556,6.095047,6.057293,6.013146,5.988476,5.936407,5.888532,5.851362,5.803902,25.137518,26.732195,0
20250723,18.179444,2025-07-23T18:11:06,44.032275,10.036429,0.000000,0.000000,26.115700,26.787600,0.543000,0.755423,0.772156,0.760452,0.747663,0.743207,0.727405,0.713929,0.695189,0.683252,0.667387,0.653583,0.636853,0.630466,0.618638,0.608834,0.599703,0.590106,0.581348,0.571014,0.563328,0.553993,0.544912,0.538371,0.528826,0.522144,0.515082,0.507315,0.499369,0.493080,0.486539,0.478176,0.473081,0.466534,0.460050,0.453464,0.447644,0.442599,0.435774,0.432052,0.426566,0.421416,0.417292,0.411367,0.407896,0.402691,0.398882,0.394942,0.390398,0.386239,0.383089,0.379638,0.376690,0.372412,0.369020,0.364361,0.360857,0.356288,0.353749,0.348627,0.345658,0.343357,0.338655,0.336922,0.334195,0.330944,0.329024,0.323666,0.320101,0.318531,0.313624,0.311333,0.307612,0.302557,0.302751,0.299847,0.296970,0.297077,0.293540,0.297084,0.296757,0.292510,0.300235,0.297566,0.304781,0.310518,7.336009,7.431038,7.527648,7.628473,7.726788,7.784917,7.769000,7.660036,7.504421,7.334581,7.215051,7.156038,7.134257,7.132561,7.131437,7.134310,7.124791,7.114067,7.087855,7.055197,7.024827,6.996556,6.962506,6.927479,6.891412,6.854259,6.816209,6.772674,6.741228,6.702819,6.679290,6.658243,6.638416,6.623105,6.607451,6.590318,6.574199,6.556747,6.540890,6.523994,6.502208,6.486220,6.502128,6.480909,6.456164,6.432670,6.411992,6.391105,6.363637,6.340823,6.323545,6.307885,6.296398,6.280311,6.273260,6.269711,6.262471,6.254878,6.252454,6.243404,6.232282,6.225096,6.217167,6.197404,6.193849,6.193950,6.189006,6.174600,6.165269,6.151732,6.139153,6.128330,6.108563,6.082065,6.074286,6.048679,6.020779,5.984299,5.943879,5.911497,5.877220,5.830385,5.765978,5.718831,5.674147,25.145886,26.733754,0
20250723,18.179444,2025-07-23T18:11:06,44.032275,10.036429,0.000000,0.000000,26.115700,26.787600,0.543000,0.755423,0.772156,0.760452,0.747663,0.743207,0.727405,0.713929,0.695189,0.683252,0.667387,0.653583,0.636853,0.630466,0.618638,0.608834,0.599703,0.590106,0.581348,0.571014,0.563328,0.553993,0.544912,0.538371,0.528826,0.522144,0.515082,0.507315,0.499369,0.493080,0.486539,0.478176,0.473081,0.466534,0.460050,0.453464,0.447644,0.442599,0.435774,0.432052,0.426566,0.421416,0.417292,0.411367,0.407896,0.402691,0.398882,0.394942,0.390398,0.386239,0.383089,0.379638,0.376690,0.372412,0.369020,0.364361,0.360857,0.356288,0.353749,0.348627,0.345658,0.343357,0.338655,0.336922,0.334195,0.330944,0.329024,0.323666,0.320101,0.318531,0.313624,0.311333,0.307612,0.302557,0.302751,0.299847,0.296970,0.297077,0.293540,0.297084,0.296757,0.292510,0.300235,0.297566,0.304781,0.310518,7.336009,7.431038,7.527648,7.628473,7.726788,7.784917,7.769000,7.660036,7.504421,7.334581,7.215051,7.156038,7.134257,7.132561,7.131437,7.134310,7.124791,7.114067,7.087855,7.055197,7.024827,6.996556,6.962506,6.927479,6.891412,6.854259,6.816209,6.772674,6.741228,6.702819,6.679290,6.658243,6.638416,6.623105,6.607451,6.590318,6.574199,6.556747,6.540890,6.523994,6.502208,6.486220,6.502128,6.480909,6.456164,6.432670,6.411992,6.391105,6.363637,6.340823,6.323545,6.307885,6.296398,6.280311,6.273260,6.269711,6.262471,6.254878,6.252454,6.243404,6.232282,6.225096,6.217167,6.197404,6.193849,6.193950,6.189006,6.174600,6.165269,6.151732,6.139153,6.128330,6.108563,6.082065,6.074286,6.048679,6.020779,5.984299,5.943879,5.911497,5.877220,5.830385,5.765978,5.718831,5.674147,25.145886,26.733754,0
20250723,18.180556,2025-07-23T18:11:10,44.032275,10.036429,0.000000,0.000000,26.115500,26.787200,0.544600,0.763977,0.769436,0.753748,0.753593,0.741503,0.727451,0.713284,0.697291,0.683532,0.667494,0.652288,0.638922,0.629738,0.618556,0.610034,0.599404,0.590732,0.580726,0.571199,0.563491,0.553986,0.545460,0.538350,0.530146,0.522360,0.514864,0.507660,0.499718,0.494041,0.486382,0.479094,0.473966,0.466401,0.459797,0.453684,0.448265,0.442402,0.435962,0.432351,0.426353,0.421509,0.417449,0.412357,0.408089,0.403530,0.399008,0.394167,0.390333,0.386775,0.383401,0.379917,0.375990,0.372654,0.368541,0.364835,0.361035,0.357153,0.353142,0.349081,0.346035,0.342779,0.339144,0.336582,0.333794,0.330682,0.329024,0.324272,0.321352,0.316424,0.314399,0.310654,0.308379,0.302406,0.302703,0.297798,0.297657,0.298777,0.293551,0.297109,0.294300,0.292847,0.300653,0.302055,0.302904,0.309962,7.112405,7.213545,7.330310,7.430890,7.528040,7.581029,7.560349,7.468244,7.322951,7.160819,7.041045,6.981692,6.962036,6.964561,6.972324,6.969177,6.964536,6.946351,6.927491,6.903233,6.872002,6.841050,6.811321,6.779931,6.747525,6.712154,6.671196,6.631890,6.597452,6.565227,6.540181,6.523903,6.505239,6.487712,6.471848,6.460928,6.441878,6.428020,6.410354,6.395272,6.377877,6.358736,6.372378,6.350294,6.324710,6.303393,6.282869,6.263209,6.238599,6.214712,6.199645,6.183146,6.171067,6.157021,6.148929,6.147053,6.141023,6.131473,6.129657,6.119566,6.109485,6.099736,6.091739,6.075254,6.071477,6.064897,6.058217,6.049447,6.040650,6.033272,6.011476,6.010906,5.982306,5.964392,5.943472,5.925587,5.889063,5.860988,5.820700,5.784708,5.743878,5.703509,5.660836,5.592676,5.578760,25.139610,26.732195,0
20250723,18.180556,2025-07-23T18:11:10,44.032275,10.036429,0.000000,0.000000,26.115500,26.787200,0.544600,0.763977,0.769436,0.753748,0.753593,0.741503,0.727451,0.713284,0.697291,0.683532,0.667494,0.652288,0.638922,0.629738,0.618556,0.610034,0.599404,0.590732,0.580726,0.571199,0.563491,0.553986,0.545460,0.538350,0.530146,0.522360,0.514864,0.507660,0.499718,0.494041,0.486382,0.479094,0.473966,0.466401,0.459797,0.453684,0.448265,0.442402,0.435962,0.432351,0.426353,0.421509,0.417449,0.412357,0.408089,0.403530,0.399008,0.394167,0.390333,0.386775,0.383401,0.379917,0.375990,0.372654,0.368541,0.364835,0.361035,0.357153,0.353142,0.349081,0.346035,0.342779,0.339144,0.336582,0.333794,0.330682,0.329024,0.324272,0.321352,0.316424,0.314399,0.310654,0.308379,0.302406,0.302703,0.297798,0.297657,0.298777,0.293551,0.297109,0.294300,0.292847,0.300653,0.302055,0.302904,0.309962,7.112405,7.213545,7.330310,7.430890,7.528040,7.581029,7.560349,7.468244,7.322951,7.160819,7.041045,6.981692,6.962036,6.964561,6.972324,6.969177,6.964536,6.946351,6.927491,6.903233,6.872002,6.841050,6.811321,6.779931,6.747525,6.712154,6.671196,6.631890,6.597452,6.565227,6.540181,6.523903,6.505239,6.487712,6.471848,6.460928,6.441878,6.428020,6.410354,6.395272,6.377877,6.358736,6.372378,6.350294,6.324710,6.303393,6.282869,6.263209,6.238599,6.214712,6.199645,6.183146,6.171067,6.157021,6.148929,6.147053,6.141023,6.131473,6.129657,6.119566,6.109485,6.099736,6.091739,6.075254,6.071477,6.064897,6.058217,6.049447,6.040650,6.033272,6.011476,6.010906,5.982306,5.964392,5.943472,5.925587,5.889063,5.860988,5.820700,5.784708,5.743878,5.703509,5.660836,5.592676,5.578760,25.139610,26.732195,0
20250723,18.181667,2025-07-23T18:11:14,44.032275,10.036429,0.000000,0.000000,26.116100,26.787100,0.544500,0.771911,0.757991,0.764850,0.750913,0.740350,0.727777,0.714540,0.698765,0.681980,0.666508,0.654223,0.638180,0.628052,0.620889,0.608442,0.599595,0.590161,0.581231,0.571849,0.562135,0.554704,0.546030,0.537797,0.530954,0.522196,0.514871,0.507465,0.500884,0.492806,0.486117,0.479675,0.473175,0.467194,0.460030,0.454231,0.448338,0.442576,0.436859,0.431548,0.426997,0.421756,0.417261,0.412265,0.407574,0.403599,0.398654,0.395136,0.390366,0.386270,0.383589,0.380132,0.376204,0.372383,0.368692,0.364540,0.361036,0.357006,0.353057,0.349666,0.346136,0.343005,0.338889,0.336680,0.334260,0.330799,0.328873,0.323739,0.320755,0.318075,0.313769,0.312467,0.307612,0.304643,0.301805,0.299756,0.297333,0.296461,0.296590,0.297085,0.295615,0.294771,0.299817,0.300558,0.303972,0.311710,7.251863,7.315160,7.442345,7.542153,7.643990,7.698867,7.670325,7.575017,7.421201,7.263062,7.136741,7.082435,7.068361,7.067996,7.068922,7.073151,7.066703,7.051472,7.033776,7.005587,6.977288,6.948056,6.917642,6.885059,6.853924,6.817122,6.780432,6.741450,6.705175,6.670426,6.647075,6.626643,6.607423,6.587563,6.572461,6.556509,6.539689,6.523916,6.506885,6.488632,6.469446,6.448603,6.420083,6.398737,6.372383,6.348420,6.326706,6.304445,6.280698,6.261388,6.240228,6.228054,6.215861,6.197701,6.192740,6.193314,6.184618,6.180893,6.174114,6.167819,6.156969,6.152051,6.143500,6.125747,6.123370,6.119982,6.118678,6.104871,6.096171,6.090675,6.072603,6.064014,6.047476,6.025589,6.004622,5.992961,5.953355,5.915503,5.880832,5.854328,5.811393,5.774177,5.709871,5.654885,5.623537,25.150069,26.735313,0
